img,plate,source_img,augment_type,clean_plate,group_id,split
3_low.png,51-L4 1138,3.png,low,51L41138,51L41138,train
3_medium.png,51-L4 1138,3.png,medium,51L41138,51L41138,train
3_high.png,51-L4 1138,3.png,high,51L41138,51L41138,train
3_occluded.png,51-L4 1138,3.png,occluded,51L41138,51L41138,train
4_low.png,59-M1 760.54,4.png,low,59M176054,59M176054,train
4_medium.png,59-M1 760.54,4.png,medium,59M176054,59M176054,train
4_high.png,59-M1 760.54,4.png,high,59M176054,59M176054,train
4_occluded.png,59-M1 760.54,4.png,occluded,59M176054,59M176054,train
6_low.png,65-F1 315.32,6.png,low,65F131532,65F131532,train
6_medium.png,65-F1 315.32,6.png,medium,65F131532,65F131532,train
6_high.png,65-F1 315.32,6.png,high,65F131532,65F131532,train
6_occluded.png,65-F1 315.32,6.png,occluded,65F131532,65F131532,train
8_low.png,59-C2 305.13,8.png,low,59C230513,59C230513,train
8_medium.png,59-C2 305.13,8.png,medium,59C230513,59C230513,train
8_high.png,59-C2 305.13,8.png,high,59C230513,59C230513,train
8_occluded.png,59-C2 305.13,8.png,occluded,59C230513,59C230513,train
9_low.png,59-D1 856.19,9.png,low,59D185619,59D185619,train
9_medium.png,59-D1 856.19,9.png,medium,59D185619,59D185619,train
9_high.png,59-D1 856.19,9.png,high,59D185619,59D185619,train
9_occluded.png,59-D1 856.19,9.png,occluded,59D185619,59D185619,train
10_low.png,59-C2 550.06,10.png,low,59C255006,59C255006,train
10_medium.png,59-C2 550.06,10.png,medium,59C255006,59C255006,train
10_high.png,59-C2 550.06,10.png,high,59C255006,59C255006,train
10_occluded.png,59-C2 550.06,10.png,occluded,59C255006,59C255006,train
11_low.png,54-P1 1782,11.png,low,54P11782,54P11782,train
11_medium.png,54-P1 1782,11.png,medium,54P11782,54P11782,train
11_high.png,54-P1 1782,11.png,high,54P11782,54P11782,train
11_occluded.png,54-P1 1782,11.png,occluded,54P11782,54P11782,train
13_low.png,59-K1 223.23,13.png,low,59K122323,59K122323,train
13_medium.png,59-K1 223.23,13.png,medium,59K122323,59K122323,train
13_high.png,59-K1 223.23,13.png,high,59K122323,59K122323,train
13_occluded.png,59-K1 223.23,13.png,occluded,59K122323,59K122323,train
14_low.png,59-M1 217.04,14.png,low,59M121704,59M121704,train
14_medium.png,59-M1 217.04,14.png,medium,59M121704,59M121704,train
14_high.png,59-M1 217.04,14.png,high,59M121704,59M121704,train
14_occluded.png,59-M1 217.04,14.png,occluded,59M121704,59M121704,train
16_low.png,63-B3 044.26,16.png,low,63B304426,63B304426,train
16_medium.png,63-B3 044.26,16.png,medium,63B304426,63B304426,train
16_high.png,63-B3 044.26,16.png,high,63B304426,63B304426,train
16_occluded.png,63-B3 044.26,16.png,occluded,63B304426,63B304426,train
17_low.png,60-C1 237.74,17.png,low,60C123774,60C123774,train
17_medium.png,60-C1 237.74,17.png,medium,60C123774,60C123774,train
17_high.png,60-C1 237.74,17.png,high,60C123774,60C123774,train
17_occluded.png,60-C1 237.74,17.png,occluded,60C123774,60C123774,train
18_low.png,59-N1 695.75,18.png,low,59N169575,59N169575,train
18_medium.png,59-N1 695.75,18.png,medium,59N169575,59N169575,train
18_high.png,59-N1 695.75,18.png,high,59N169575,59N169575,train
18_occluded.png,59-N1 695.75,18.png,occluded,59N169575,59N169575,train
20_low.png,60-U2 3465,20.png,low,60U23465,60U23465,train
20_medium.png,60-U2 3465,20.png,medium,60U23465,60U23465,train
20_high.png,60-U2 3465,20.png,high,60U23465,60U23465,train
20_occluded.png,60-U2 3465,20.png,occluded,60U23465,60U23465,train
21_low.png,52-T8 5761,21.png,low,52T85761,52T85761,train
21_medium.png,52-T8 5761,21.png,medium,52T85761,52T85761,train
21_high.png,52-T8 5761,21.png,high,52T85761,52T85761,train
21_occluded.png,52-T8 5761,21.png,occluded,52T85761,52T85761,train
23_low.png,59-C2 593.92,23.png,low,59C259392,59C259392,train
23_medium.png,59-C2 593.92,23.png,medium,59C259392,59C259392,train
23_high.png,59-C2 593.92,23.png,high,59C259392,59C259392,train
23_occluded.png,59-C2 593.92,23.png,occluded,59C259392,59C259392,train
24_low.png,54-T3 0255,24.png,low,54T30255,54T30255,train
24_medium.png,54-T3 0255,24.png,medium,54T30255,54T30255,train
24_high.png,54-T3 0255,24.png,high,54T30255,54T30255,train
24_occluded.png,54-T3 0255,24.png,occluded,54T30255,54T30255,train
26_low.png,59-P2 189.00,26.png,low,59P218900,59P218900,train
26_medium.png,59-P2 189.00,26.png,medium,59P218900,59P218900,train
26_high.png,59-P2 189.00,26.png,high,59P218900,59P218900,train
26_occluded.png,59-P2 189.00,26.png,occluded,59P218900,59P218900,train
27_low.png,54-S8 4120,27.png,low,54S84120,54S84120,train
27_medium.png,54-S8 4120,27.png,medium,54S84120,54S84120,train
27_high.png,54-S8 4120,27.png,high,54S84120,54S84120,train
27_occluded.png,54-S8 4120,27.png,occluded,54S84120,54S84120,train
28_low.png,59-H1 439.86,28.png,low,59H143986,59H143986,train
28_medium.png,59-H1 439.86,28.png,medium,59H143986,59H143986,train
28_high.png,59-H1 439.86,28.png,high,59H143986,59H143986,train
28_occluded.png,59-H1 439.86,28.png,occluded,59H143986,59H143986,train
29_low.png,54-F2 8259,29.png,low,54F28259,54F28259,train
29_medium.png,54-F2 8259,29.png,medium,54F28259,54F28259,train
29_high.png,54-F2 8259,29.png,high,54F28259,54F28259,train
29_occluded.png,54-F2 8259,29.png,occluded,54F28259,54F28259,train
30_low.png,59-S2 235.46,30.png,low,59S223546,59S223546,train
30_medium.png,59-S2 235.46,30.png,medium,59S223546,59S223546,train
30_high.png,59-S2 235.46,30.png,high,59S223546,59S223546,train
30_occluded.png,59-S2 235.46,30.png,occluded,59S223546,59S223546,train
31_low.png,59-C1 397.80,31.png,low,59C139780,59C139780,train
31_medium.png,59-C1 397.80,31.png,medium,59C139780,59C139780,train
31_high.png,59-C1 397.80,31.png,high,59C139780,59C139780,train
31_occluded.png,59-C1 397.80,31.png,occluded,59C139780,59C139780,train
32_low.png,54-T1 7232,32.png,low,54T17232,54T17232,train
32_medium.png,54-T1 7232,32.png,medium,54T17232,54T17232,train
32_high.png,54-T1 7232,32.png,high,54T17232,54T17232,train
32_occluded.png,54-T1 7232,32.png,occluded,54T17232,54T17232,train
33_low.png,63-H3 1295,33.png,low,63H31295,63H31295,train
33_medium.png,63-H3 1295,33.png,medium,63H31295,63H31295,train
33_high.png,63-H3 1295,33.png,high,63H31295,63H31295,train
33_occluded.png,63-H3 1295,33.png,occluded,63H31295,63H31295,train
35_low.png,59-M1 600.77,35.png,low,59M160077,59M160077,train
35_medium.png,59-M1 600.77,35.png,medium,59M160077,59M160077,train
35_high.png,59-M1 600.77,35.png,high,59M160077,59M160077,train
35_occluded.png,59-M1 600.77,35.png,occluded,59M160077,59M160077,train
36_low.png,59-U1 454.76,36.png,low,59U145476,59U145476,train
36_medium.png,59-U1 454.76,36.png,medium,59U145476,59U145476,train
36_high.png,59-U1 454.76,36.png,high,59U145476,59U145476,train
36_occluded.png,59-U1 454.76,36.png,occluded,59U145476,59U145476,train
37_low.png,59-T1 616.54,37.png,low,59T161654,59T161654,train
37_medium.png,59-T1 616.54,37.png,medium,59T161654,59T161654,train
37_high.png,59-T1 616.54,37.png,high,59T161654,59T161654,train
37_occluded.png,59-T1 616.54,37.png,occluded,59T161654,59T161654,train
38_low.png,59-F1 219.26,38.png,low,59F121926,59F121926,train
38_medium.png,59-F1 219.26,38.png,medium,59F121926,59F121926,train
38_high.png,59-F1 219.26,38.png,high,59F121926,59F121926,train
38_occluded.png,59-F1 219.26,38.png,occluded,59F121926,59F121926,train
39_low.png,59-H1 028.76,39.png,low,59H102876,59H102876,train
39_medium.png,59-H1 028.76,39.png,medium,59H102876,59H102876,train
39_high.png,59-H1 028.76,39.png,high,59H102876,59H102876,train
39_occluded.png,59-H1 028.76,39.png,occluded,59H102876,59H102876,train
41_low.png,84-G1 225.93,41.png,low,84G122593,84G122593,train
41_medium.png,84-G1 225.93,41.png,medium,84G122593,84G122593,train
41_high.png,84-G1 225.93,41.png,high,84G122593,84G122593,train
41_occluded.png,84-G1 225.93,41.png,occluded,84G122593,84G122593,train
42_low.png,59-C2 281.14,42.png,low,59C228114,59C228114,train
42_medium.png,59-C2 281.14,42.png,medium,59C228114,59C228114,train
42_high.png,59-C2 281.14,42.png,high,59C228114,59C228114,train
42_occluded.png,59-C2 281.14,42.png,occluded,59C228114,59C228114,train
43_low.png,59-B1 378.58,43.png,low,59B137858,59B137858,train
43_medium.png,59-B1 378.58,43.png,medium,59B137858,59B137858,train
43_high.png,59-B1 378.58,43.png,high,59B137858,59B137858,train
43_occluded.png,59-B1 378.58,43.png,occluded,59B137858,59B137858,train
45_low.png,59-P1 892.67,45.png,low,59P189267,59P189267,train
45_medium.png,59-P1 892.67,45.png,medium,59P189267,59P189267,train
45_high.png,59-P1 892.67,45.png,high,59P189267,59P189267,train
45_occluded.png,59-P1 892.67,45.png,occluded,59P189267,59P189267,train
46_low.png,59-S2 083.38,46.png,low,59S208338,59S208338,train
46_medium.png,59-S2 083.38,46.png,medium,59S208338,59S208338,train
46_high.png,59-S2 083.38,46.png,high,59S208338,59S208338,train
46_occluded.png,59-S2 083.38,46.png,occluded,59S208338,59S208338,train
47_low.png,59-H1 636.02,47.png,low,59H163602,59H163602,train
47_medium.png,59-H1 636.02,47.png,medium,59H163602,59H163602,train
47_high.png,59-H1 636.02,47.png,high,59H163602,59H163602,train
47_occluded.png,59-H1 636.02,47.png,occluded,59H163602,59H163602,train
48_low.png,59-S1 818.34,48.png,low,59S181834,59S181834,train
48_medium.png,59-S1 818.34,48.png,medium,59S181834,59S181834,train
48_high.png,59-S1 818.34,48.png,high,59S181834,59S181834,train
48_occluded.png,59-S1 818.34,48.png,occluded,59S181834,59S181834,train
49_low.png,51-K6 1392,49.png,low,51K61392,51K61392,train
49_medium.png,51-K6 1392,49.png,medium,51K61392,51K61392,train
49_high.png,51-K6 1392,49.png,high,51K61392,51K61392,train
49_occluded.png,51-K6 1392,49.png,occluded,51K61392,51K61392,train
51_low.png,54-M2 9266,51.png,low,54M29266,54M29266,train
51_medium.png,54-M2 9266,51.png,medium,54M29266,54M29266,train
51_high.png,54-M2 9266,51.png,high,54M29266,54M29266,train
51_occluded.png,54-M2 9266,51.png,occluded,54M29266,54M29266,train
53_low.png,59-Y1 608.11,53.png,low,59Y160811,59Y160811,train
53_medium.png,59-Y1 608.11,53.png,medium,59Y160811,59Y160811,train
53_high.png,59-Y1 608.11,53.png,high,59Y160811,59Y160811,train
53_occluded.png,59-Y1 608.11,53.png,occluded,59Y160811,59Y160811,train
54_low.png,52-P3 9520,54.png,low,52P39520,52P39520,train
54_medium.png,52-P3 9520,54.png,medium,52P39520,52P39520,train
54_high.png,52-P3 9520,54.png,high,52P39520,52P39520,train
54_occluded.png,52-P3 9520,54.png,occluded,52P39520,52P39520,train
55_low.png,59-L1 776.93,55.png,low,59L177693,59L177693,train
55_medium.png,59-L1 776.93,55.png,medium,59L177693,59L177693,train
55_high.png,59-L1 776.93,55.png,high,59L177693,59L177693,train
55_occluded.png,59-L1 776.93,55.png,occluded,59L177693,59L177693,train
56_low.png,54-H1 5326,56.png,low,54H15326,54H15326,train
56_medium.png,54-H1 5326,56.png,medium,54H15326,54H15326,train
56_high.png,54-H1 5326,56.png,high,54H15326,54H15326,train
56_occluded.png,54-H1 5326,56.png,occluded,54H15326,54H15326,train
59_low.png,59-N1 471.02,59.png,low,59N147102,59N147102,train
59_medium.png,59-N1 471.02,59.png,medium,59N147102,59N147102,train
59_high.png,59-N1 471.02,59.png,high,59N147102,59N147102,train
59_occluded.png,59-N1 471.02,59.png,occluded,59N147102,59N147102,train
60_low.png,59-C2 414.73,60.png,low,59C241473,59C241473,train
60_medium.png,59-C2 414.73,60.png,medium,59C241473,59C241473,train
60_high.png,59-C2 414.73,60.png,high,59C241473,59C241473,train
60_occluded.png,59-C2 414.73,60.png,occluded,59C241473,59C241473,train
61_low.png,79-H1 200.23,61.png,low,79H120023,79H120023,train
61_medium.png,79-H1 200.23,61.png,medium,79H120023,79H120023,train
61_high.png,79-H1 200.23,61.png,high,79H120023,79H120023,train
61_occluded.png,79-H1 200.23,61.png,occluded,79H120023,79H120023,train
64_low.png,63-H5 4588,64.png,low,63H54588,63H54588,train
64_medium.png,63-H5 4588,64.png,medium,63H54588,63H54588,train
64_high.png,63-H5 4588,64.png,high,63H54588,63H54588,train
64_occluded.png,63-H5 4588,64.png,occluded,63H54588,63H54588,train
65_low.png,59-V2 335.22,65.png,low,59V233522,59V233522,train
65_medium.png,59-V2 335.22,65.png,medium,59V233522,59V233522,train
65_high.png,59-V2 335.22,65.png,high,59V233522,59V233522,train
65_occluded.png,59-V2 335.22,65.png,occluded,59V233522,59V233522,train
66_low.png,79-C1 221.77,66.png,low,79C122177,79C122177,train
66_medium.png,79-C1 221.77,66.png,medium,79C122177,79C122177,train
66_high.png,79-C1 221.77,66.png,high,79C122177,79C122177,train
66_occluded.png,79-C1 221.77,66.png,occluded,79C122177,79C122177,train
67_low.png,59-F1 322.10,67.png,low,59F132210,59F132210,train
67_medium.png,59-F1 322.10,67.png,medium,59F132210,59F132210,train
67_high.png,59-F1 322.10,67.png,high,59F132210,59F132210,train
67_occluded.png,59-F1 322.10,67.png,occluded,59F132210,59F132210,train
68_low.png,59-X1 243.40,68.png,low,59X124340,59X124340,train
68_medium.png,59-X1 243.40,68.png,medium,59X124340,59X124340,train
68_high.png,59-X1 243.40,68.png,high,59X124340,59X124340,train
68_occluded.png,59-X1 243.40,68.png,occluded,59X124340,59X124340,train
69_low.png,59-V2 090.48,69.png,low,59V209048,59V209048,train
